Fish #,Latitude,Longitude,Length,Recap Tag#,
177,65.3951,-147.2990,250,-,
178,65.3951,-147.2990,312,-,
179,65.3913,-147.3115,324,-,
180,65.3913,-147.3115,262,-,
181,65.3913,-147.3115,278,-,
182,65.3911,-147.3216,255,-,
183,65.3910,-147.3229,302,-,
184,65.3910,-147.3229,295,-,
185,65.3908,-147.3240,336,-,
186,65.3908,-147.3240,275,-,
187,65.3936,-147.2897,310,-,
188,65.3936,-147.2897,297,-,
189,65.3936,-147.2897,364,-,
190,65.3936,-147.2897,265,-,
191,65.3936,-147.2897,327,-,
192,65.3930,-147.2928,308,-,
193,65.3930,-147.2928,292,-,
194,65.3930,-147.2928,279,-,
195,65.3930,-147.2928,282,-,
196,65.3930,-147.2928,271,304,
197,65.3930,-147.2928,263,-,
198,65.3930,-147.2928,306,-,
199,65.3946,-147.3025,267,-,
200,65.3946,-147.3025,266,-,
201,65.3946,-147.3025,310,-,
202,65.3946,-147.3025,264,-,
203,65.3917,-147.3093,263,-,
204,65.3917,-147.3093,258,-,
205,65.3917,-147.3093,268,-,
206,65.3917,-147.3093,344,-,
207,65.3917,-147.3093,291,-,
208,65.3917,-147.3093,261,-,
209,65.3907,-147.3125,301,-,
210,65.3904,-147.3244,270,-,
211,65.3904,-147.3244,255,-,
212,65.3904,-147.3244,351,-,
213,65.3866,-147.2607,285,-,
214,65.3865,-147.2620,250,-,
215,65.3862,-147.2638,253,33,
216,65.3862,-147.2638,270,-,
217,65.3859,-147.2716,251,-,
218,65.3873,-147.2733,290,-,
219,65.3873,-147.2733,270,-,
220,65.3881,-147.2755,310,-,
221,65.3881,-147.2755,295,-,
222,65.3872,-147.2820,291,-,
223,65.3872,-147.2820,293,-,
224,65.3872,-147.2820,269,-,
225,65.3872,-147.2820,322,-,
226,65.3892,-147.2860,252,-,
227,65.3918,-147.2914,281,-,
228,65.3888,-147.3249,280,-,
229,65.3889,-147.3235,270,578,
230,65.3889,-147.3235,300,-,
231,65.3889,-147.3235,250,-,
232,65.3889,-147.3235,261,-,
233,65.3877,-147.3219,276,-,
234,65.3877,-147.3219,290,-,
235,65.3877,-147.3219,272,-,
236,65.3877,-147.3219,299,-,
237,65.3877,-147.3219,295,-,
238,65.3877,-147.3219,271,-,
239,65.3877,-147.3219,265,-,
240,65.3877,-147.3219,264,-,
241,65.3877,-147.3219,265,320,
242,65.3863,-147.3216,270,589,
243,65.3852,-147.3229,252,-,
244,65.3852,-147.3229,250,-,
245,65.3852,-147.3229,295,-,
246,65.3846,-147.3306,256,-,
247,65.3846,-147.3306,267,-,
248,65.3846,-147.3306,258,-,
249,65.3846,-147.3306,287,-,
250,65.3846,-147.3306,327,-,
251,65.3846,-147.3306,300,-,
252,65.3846,-147.3306,269,-,
253,65.3846,-147.3306,291,-,
254,65.3840,-147.3346,250,-,
255,65.3840,-147.3346,265,-,
256,65.3840,-147.3346,265,-,
257,65.3840,-147.3346,253,-,
258,65.3840,-147.3346,285,-,
259,65.3840,-147.3346,253,-,
260,65.3840,-147.3346,275,-,
261,65.3840,-147.3346,301,-,
262,65.3840,-147.3346,251,-,
263,65.3840,-147.3346,255,-,
264,65.3840,-147.3346,252,-,
265,65.3840,-147.3346,290,-,
266,65.3840,-147.3346,273,-,
267,65.3840,-147.3346,279,-,
268,65.3874,-147.2448,288,-,
269,65.3874,-147.2448,254,-,
270,65.3874,-147.2448,311,-,
271,65.3874,-147.2448,279,-,
272,65.3874,-147.2448,276,-,
273,65.3874,-147.2448,285,-,
274,65.3874,-147.2448,364,-,
275,65.3874,-147.2448,313,-,
276,65.3874,-147.2448,293,-,
277,65.3874,-147.2448,292,-,
278,65.3874,-147.2448,326,-,
279,65.3874,-147.2448,251,-,
280,65.3865,-147.2526,321,-,
281,65.3865,-147.2526,273,-,
282,65.3865,-147.2526,260,-,
283,65.3865,-147.2526,251,-,
