Fish #,Latitude,Longitude,Length,Recap Tag#,
254,65.3387,-146.92981,273,-,
255,65.3394,-146.9301,268,-,
256,65.3394,-146.9301,282,1454,
257,65.3394,-146.9304,256,-,
258,65.3393,-146.9326,290,-,
259,65.3393,-146.9326,355,1464,
260,65.3394,-146.936,289,1473,
261,65.3394,-146.936,356,1470,
262,65.3394,-146.936,315,1471,
263,65.3394,-146.936,261,1474,
264,65.3384,-146.9379,340,-,
265,65.3384,-146.9379,297,1479,
266,65.339,-146.9378,267,-,
267,65.3394,-146.9382,341,1482,
268,65.34,-146.9404,396,-,
269,65.34,-146.9404,274,1465,
270,65.34,-146.9404,256,-,
271,65.3397,-146.9417,281,-,
272,65.3397,-146.9417,276,-,
273,65.3397,-146.9417,290,-,
274,65.3397,-146.9417,360,-,
275,65.3397,-146.9417,266,-,
276,65.3396,-146.945,341,-,
277,65.341,-146.9447,356,-,
278,65.3409,-146.9462,258,-,
279,65.3412,-146.9491,269,-,
280,65.3412,-146.9491,271,-,
281,65.3412,-146.9491,none,-,
282,65.3412,-146.9491,306,-,
283,65.357647,-147.033138,312,-,
284,65.357647,-147.033138,293,-,
285,65.359886,-147.036042,265,847,
286,65.359886,-147.036042,252,-,
287,65.359886,-147.036042,279,846,
288,65.361749,-147.035281,283,-,
289,65.362971,-147.037012,312,-,
290,65.365864,-147.053172,262,-,
291,65.365588,-147.054731,254,-,
292,65.365866,-147.053546,294,858,
293,65.3378,-146.9152,265,-,
294,65.3383,-146.9138,321,1431,
295,65.3367,-146.9083,318,-,
296,65.3366,-146.9068,315,-,
297,65.3366,-146.9068,270,-,
298,65.337,-146.9047,331,-,
299,65.3368,-146.902,250,-,
300,65.337,-146.8999,362,772,
301,65.3361,-146.8984,287,-,
302,65.336,-146.8957,371,-,
303,65.336,-146.8957,270,-,
304,65.336,-146.8957,294,768,
305,65.336,-146.8957,287,-,
306,65.3371,-146.8942,354,-,
307,65.3356,-146.893,280,-,
308,65.3354,-146.8868,250,-,
309,65.3354,-146.8868,278,-,
310,65.3354,-146.8868,270,-,
311,65.3361,-146.8825,340,-,
312,65.3361,-146.8825,340,-,
313,65.3361,-146.8825,297,-,
314,65.3356,-146.8782,295,1186,
315,65.3356,-146.8782,360,-,
316,65.3356,-146.8782,255,-,
317,65.3356,-146.8782,255,804,
318,65.3356,-146.8782,351,-,
319,65.3356,-146.8782,285,1187,
320,65.3442,-146.6986,313,,
321,65.3376,-146.7214,300,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
