Fish #,Latitude,Longitude,Length,Mark Tag#,,,,
248,65.3938,-147.1660,294,518,,,,
249,65.3933,-147.1681,280,519,,,,
250,65.3933,-147.1681,258,520,,,,
251,65.3933,-147.1681,272,521,,,,
252,65.3915,-147.1731,260,522,,,,
253,65.3915,-147.1731,253,523,,,,
254,65.3915,-147.1731,261,524,,,,
255,65.3915,-147.1731,274,525,,,,
256,65.3915,-147.1731,256,526,,,,
257,65.3915,-147.1731,259,527,,,,
258,65.3915,-147.1731,277,528,,,,
259,65.3926,-147.1760,253,530,,,,
260,65.3926,-147.1760,261,529,,,,
261,65.3928,-147.1779,250,531,,,,
262,65.3955,-147.1919,250,532,,,,
263,65.3955,-147.1919,259,533,,,,
264,65.3973,-147.1929,251,534,,,,
265,65.3973,-147.1929,261,535,,,,
266,65.3973,-147.1929,263,536,,,,
267,65.3973,-147.1929,282,538,,,,
268,65.3973,-147.1929,313,539,,,,
269,65.3913,-147.2409,306,541,,,,
270,65.3887,-147.2449,259,542,,,,
271,65.3876,-147.2476,285,543,,,,
272,65.3876,-147.2476,266,544,,,,
273,65.3859,-147.2716,304,546,,,,
274,65.3880,-147.2783,261,548,,,,
275,65.3923,-147.3088,270,549,,,,
276,65.3913,-147.3111,250,551,,,,
277,65.3913,-147.3111,267,552,,,,
278,65.3913,-147.3111,271,553,,,,
279,65.3911,-147.3123,286,556,,,,
280,65.3911,-147.3123,254,555,,,,
281,65.3911,-147.3123,260,558,,,,
282,65.3911,-147.3123,255,557,,,,
283,65.3911,-147.3123,296,559,,,,
284,65.3909,-147.3136,258,560,,,,
285,65.3909,-147.3136,262,561,,,,
286,65.3909,-147.3136,257,562,,,,
287,65.3909,-147.3136,251,563,,,,
288,65.3908,-147.3144,270,565,,,,
289,65.3908,-147.3144,295,566,,,,
290,65.3905,-147.3240,309,567,,,,
291,65.3905,-147.3240,277,568,,,,
292,65.3905,-147.3240,266,569,,,,
293,65.3899,-147.3251,273,570,,,,
294,65.3899,-147.3251,290,571,,,,
295,65.3899,-147.3251,294,572,,,,
296,65.3899,-147.3251,261,573,,,,
297,65.3899,-147.3251,280,574,,,,
298,65.3899,-147.3251,267,575,,,,
299,65.3885,-147.3244,252,576,,,,
300,65.3885,-147.3244,251,577,,,,
301,65.3885,-147.3244,273,578,,,,
302,65.3884,-147.3240,251,579,,,,
303,65.3884,-147.3240,264,580,,,,
304,65.3884,-147.3240,305,581,,,,
305,65.3869,-147.3219,275,582,,,,
306,65.3869,-147.3219,274,583,,,,
307,65.3869,-147.3219,262,584,,,,
308,65.3869,-147.3219,267,585,,,,
309,65.3869,-147.3219,250,586,,,,
310,65.3869,-147.3219,265,587,,,,
311,65.3869,-147.3219,275,588,,,,
312,65.3864,-147.3221,261,589,,,,
313,65.3849,-147.3992,260,590,,,,
314,65.3849,-147.3992,266,591,,,,
315,65.3849,-147.3992,261,592,,,,
316,65.3849,-147.3992,254,593,,,,
317,65.3849,-147.3992,250,594,,,,
318,65.3848,-147.3296,260,595,,,,
319,65.3848,-147.3296,267,596,,,,
320,65.3848,-147.3296,281,597,,,,
321,65.3848,-147.3296,258,598,,,,
322,65.3789,-147.3622,275,599,,,,
323,65.3789,-147.3622,270,600,,,,
324,65.3789,-147.3622,265,601,,,,
325,65.3788,-147.3704,256,602,,,,
326,65.3844,-147.3934,269,603,,,,
327,65.3871,-147.3977,270,604,,,,
328,65.3873,-147.3991,256,605,,,,
329,65.3844,-147.4051,299,606,,,,
330,65.3844,-147.4051,250,607,,,,
331,65.3844,-147.4051,250,608,,,,
332,65.3844,-147.4051,305,609,,,,
333,65.3844,-147.4051,265,610,,,,
334,65.3844,-147.4051,252,611,,,,
335,65.3800,-147.4135,255,612,,,,
336,65.3800,-147.4135,273,613,,,,
337,65.3800,-147.4135,251,614,,,,
338,65.3800,-147.4135,290,615,,,,
339,65.3785,-147.4300,250,616,,,,
340,65.3789,-147.4466,263,617,,,,
341,65.3789,-147.4466,291,618,,,,
342,65.3752,-147.4553,313,619,,,,
343,65.3752,-147.4553,260,620,,,,
344,65.3752,-147.4553,255,622,,,,
345,65.3752,-147.4553,251,623,,,,
346,65.3752,-147.4553,278,624,,,,
347,65.3752,-147.4553,264,625,,,,
348,65.3785,-147.4620,275,626,,,,
349,65.3785,-147.4620,341,627,,,,
350,65.3770,-147.4655,322,628,,,,
351,65.3770,-147.4655,285,629,,,,
352,65.3770,-147.4655,280,630,,,,
353,65.3770,-147.4655,286,631,,,,
354,65.3770,-147.4655,252,632,,,,
355,65.3770,-147.4655,307,633,,,,
356,65.3770,-147.4655,330,634,,,,
357,65.3770,-147.4655,268,635,,,,
358,65.3770,-147.4655,333,636,,,,
359,65.3770,-147.4655,312,637,,,,
360,65.3770,-147.4655,301,638,,,,
361,65.3788,-147.5241,256,639,,,,
362,65.3788,-147.5241,263,640,,,,
363,65.3768,-147.6556,257,641,,,,
364,65.3768,-147.6556,262,642,,,,
365,65.3772,-147.6770,262,643,,,,
366,65.3772,-147.6770,275,644,,,,
367,65.3814,-147.7040,264,645,,,,
368,65.3812,-147.7084,270,646,,,,
369,65.3813,-147.7073,250,648,,,,
370,65.3813,-147.7073,260,649,,,,
371,65.3813,-147.7073,251,650,,,,
372,65.3800,-147.7168,295,651,,,,
373,65.3797,-147.7186,271,652,,,,
374,65.3796,-147.7195,283,653,,,,
375,65.3796,-147.7195,257,654,,,,
376,65.3796,-147.7195,293,655,,,,
377,65.3795,-147.7221,310,656,,,,
378,65.3795,-147.7221,290,657,,,,
379,65.3795,-147.7221,266,658,,,,
380,65.3795,-147.7221,295,659,,,,
381,65.3795,-147.7221,261,662,,,,
382,65.3793,-147.7138,263,663,,,,
383,65.3783,-147.7446,250,664,,,,
384,65.3783,-147.7446,276,665,,,,
385,65.3783,-147.7446,301,666,,,,
386,65.3783,-147.7446,261,667,,,,
387,65.3783,-147.7446,308,668,,,,
388,65.3783,-147.7446,255,669,,,,
389,65.3772,-147.7463,311,670,,,,
390,65.3772,-147.7463,301,671,,,,
391,65.3772,-147.7463,265,672,,,,
392,65.3787,-147.9696,255,251,,,,
393,65.3921,-147.1581,253,277,,,,
394,65.3897,-147.1508,254,278,,,,
395,65.3897,-147.1508,250,280,,,,
396,65.3897,-147.1508,269,none,"No tag, but fin clip taken",,,
397,65.3877,-147.1519,250,282,,,,
398,65.3877,-147.1519,253,283,,,,
399,65.3877,-147.1519,269,284,,,,
400,65.3877,-147.1519,250,285,,,,
401,65.3928,-147.1782,254,286,,,,
402,65.3928,-147.1782,253,287,,,,
403,65.3952,-147.1878,280,288,,,,
404,65.3952,-147.1878,270,289,,,,
405,65.3916,-147.2255,256,290,,,,
406,65.3916,-147.2255,304,291,,,,
407,65.3916,-147.2255,255,292,,,,
408,65.3916,-147.2255,291,293,,,,
409,65.3887,-147.2533,265,294,,,,
410,65.3857,-147.2705,258,295,,,,
411,65.3878,-147.2798,266,296,,,,
412,65.3878,-147.2798,257,297,,,,
413,65.3878,-147.2798,278,298,,,,
414,65.3877,-147.2845,272,299,,,,
415,65.3926,-147.2925,282,300,,,,
416,65.3926,-147.2925,254,301,,,,
417,65.3926,-147.2925,264,302,,,,
418,65.3926,-147.2925,263,303,,,,
419,65.3926,-147.2925,263,304,,,,
420,65.3926,-147.2925,259,306,,,,
421,65.3926,-147.2925,257,307,,,,
422,65.3926,-147.2925,279,308,,,,
423,65.3948,-147.2986,299,309,,,,
424,65.3948,-147.2986,261,310,,,,
425,65.3932,-147.3081,264,311,,,,
426,65.3932,-147.3081,308,312,,,,
427,65.3932,-147.3081,298,313,,,,
428,65.3932,-147.3081,267,314,,,,
429,65.3932,-147.3081,254,315,,,,
430,65.3932,-147.3081,250,316,,,,
431,65.3909,-147.3135,262,317,,,,
432,65.3909,-147.3135,261,318,,,,
433,65.3877,-147.3222,278,319,,,,
434,65.3877,-147.3222,260,320,,,,
435,65.3877,-147.3222,259,321,,,,
436,65.3877,-147.3222,282,322,,,,
437,65.3877,-147.3222,314,323,,,,
438,65.3877,-147.3222,283,324,,,,
439,65.3877,-147.3222,291,325,,,,
440,65.3877,-147.3222,321,326,,,,
441,65.3877,-147.3222,275,327,,,,
442,65.3877,-147.3222,303,328,,,,
443,65.3877,-147.3222,284,329,,,,
444,65.3877,-147.3222,266,330,,,,
445,65.3851,-147.3237,279,331,,,,
446,65.3851,-147.3237,293,332,,,,
447,65.3851,-147.3237,270,333,,,,
448,65.3828,-147.3642,296,334,,,,
449,65.3794,-147.3733,273,335,,,,
450,65.3822,-147.3768,266,336,,,,
451,65.3854,-147.3821,252,337,,,,
452,65.3854,-147.3821,257,338,,,,
453,65.3808,-147.3830,261,339,,,,
454,65.3808,-147.3830,274,340,,,,
455,65.3808,-147.3831,285,341,,,,
456,65.3808,-147.3831,253,342,,,,
457,65.3808,-147.3831,266,343,,,,
458,65.3808,-147.3831,329,344,,,,
459,65.3790,-147.3868,252,345,,,,
460,65.3790,-147.3868,255,346,,,,
461,65.3790,-147.3868,274,347,,,,
462,65.3790,-147.3868,252,348,,,,
463,65.3790,-147.3868,295,349,,,,
464,65.3858,-147.4053,282,350,,,,
465,65.3838,-147.4042,253,252,,,,
466,65.3838,-147.4042,260,253,,,,
467,65.3787,-147.4287,253,254,,,,
468,65.3787,-147.4287,267,255,,,,
469,65.3787,-147.4287,260,256,,,,
470,65.3810,-147.4405,256,258,,,,
471,65.3810,-147.4405,283,259,,,,
472,65.3810,-147.4405,257,260,,,,
473,65.3810,-147.4405,253,261,,,,
474,65.3810,-147.4405,257,262,,,,
475,65.3810,-147.4405,255,263,,,,
476,65.3810,-147.4405,286,264,,,,
477,65.3810,-147.4405,257,265,,,,
478,65.3810,-147.4405,252,266,,,,
479,65.3810,-147.4405,278,267,,,,
480,65.3806,-147.4463,272,268,,,,
481,65.3806,-147.4463,266,269,,,,
482,65.3806,-147.4463,265,270,,,,
483,65.3763,-147.4495,280,271,,,,
484,65.3763,-147.4495,294,272,,,,
485,65.3783,-147.4592,272,none,"No tag, but fin clip taken",,,
486,65.3783,-147.4592,264,273,,,,
487,65.3783,-147.4592,265,274,,,,
488,65.3808,-147.5064,275,275,,,,
489,65.3808,-147.5064,267,375,,,,
490,65.3814,-147.5066,265,374,,,,
491,65.3816,-147.5908,259,351,,,,
492,65.3771,-147.6557,288,352,,,,
493,65.3771,-147.6557,294,353,,,,
494,65.3771,-147.6557,310,354,,,,
495,65.3779,-147.6607,321,355,,,,
496,65.3779,-147.6607,302,356,,,,
497,65.3779,-147.6607,259,357,,,,
498,65.3779,-147.6607,271,358,,,,
499,65.3779,-147.6607,281,359,,,,
500,65.3779,-147.6607,260,360,,,,
501,65.3807,-147.6971,261,361,,,,
502,65.3807,-147.6971,283,362,,,,
503,65.3807,-147.6971,282,363,,,,
504,65.3815,-147.6991,275,364,,,,
505,65.3815,-147.6991,264,365,,,,
506,65.3817,-147.7096,265,366,,,,
507,65.3817,-147.7096,264,367,,,,
508,65.3817,-147.7096,288,368,,,,
509,65.3817,-147.7096,256,369,,,,
510,65.3803,-147.7171,272,370,,,,
511,65.3788,-147.7358,250,371,,,,
512,65.3792,-147.7407,255,372,,,,
513,65.3792,-147.7407,282,373,,,,
514,65.3791,-147.7425,285,401,,,,
515,65.3791,-147.7425,258,402,,,,
516,65.3791,-147.7425,265,403,,,,
517,65.3791,-147.7425,308,404,,,,
518,65.3772,-147.7466,277,405,,,,
519,65.3772,-147.7466,252,406,,,,
520,65.3772,-147.7466,283,407,,,,
